baker,baker_last_name,series,baker_age,baker_occupation,hometown,episode.x,signature_bake,show_stopper,episode.y,technical,result
Ali,Imdad,4,25,Charity worker,"Saltley, Birmingham",1,Rose and Pistachio Cake,"Chocolate, Raspberry and Passion Fruit Engagement Cake",NA,NA,NA
Ali,Imdad,4,25,Charity worker,"Saltley, Birmingham",2,Italian Grissini,Sweet and Savoury Yin Yang Bread,NA,NA,NA
Ali,Imdad,4,25,Charity worker,"Saltley, Birmingham",3,"Coconut, Raspberry and Lemon Meringue Trifle",Vanilla Latte Mini CakesLime & Mint Shortbread Pops,NA,NA,NA
Ali,Imdad,4,25,Charity worker,"Saltley, Birmingham",4,Apple and Ginger Pie with a Pecan and Walnut Shortcrust Pastry,"Orange, Cardamom and Date M'Hanncha",NA,NA,NA
Alice,Fevronia,10,28,Geography teacher,Essex,NA,NA,NA,NA,NA,NA
Alvin,Magallanes,6,37,Nurse,"Bracknell, Berkshire",1,Orange Vanilla and Fig Madeira Cake,Black Forest Gâteau,NA,NA,NA
Alvin,Magallanes,6,37,Nurse,"Bracknell, Berkshire",2,"Jackfruit, Pistachio and Macadamia Biscotti",Gingerbread Box filled with Brandy Snaps,NA,NA,NA
Alvin,Magallanes,6,37,Nurse,"Bracknell, Berkshire",3,"Prosciutto, Manchego and Balsamic Onion Soda Breads",Cornucopia,NA,NA,NA
Alvin,Magallanes,6,37,Nurse,"Bracknell, Berkshire",4,Blackberry Crème Brûlées,Tower of Fruits Cheesecakes,NA,NA,NA
Alvin,Magallanes,6,37,Nurse,"Bracknell, Berkshire",5,Pineapple Upside Down Cake,"Buko Pandan, Mango and Passion Fruit Ice Cream Roll",NA,NA,NA
Alvin,Magallanes,6,37,Nurse,"Bracknell, Berkshire",6,Plum Frangipane Tart,Smoked Salmon En Croûte and Vermouth Chicken à la King Vol-au-vents,NA,NA,NA
Amelia,LeBruin,10,24,Fashion designer,Halifax,NA,NA,NA,NA,NA,NA
Andrew,Smyth,7,25,Aerospace engineer,"Derby / Holywood, County Down",1,Lemon and Rosemary Drizzle Cake,'Ultimate Indulgence' Mirror Glaze Cake,NA,NA,NA
Andrew,Smyth,7,25,Aerospace engineer,"Derby / Holywood, County Down",2,Beehive Biscuits,Punting in Cambridge,NA,NA,NA
Andrew,Smyth,7,25,Aerospace engineer,"Derby / Holywood, County Down",3,Chocolate Barmbrack Bread,Braided Harvest Bread Basket,NA,NA,NA
Andrew,Smyth,7,25,Aerospace engineer,"Derby / Holywood, County Down",4,Yorkshire 'Tapas' Puddings,Churros Window Box,NA,NA,NA
Andrew,Smyth,7,25,Aerospace engineer,"Derby / Holywood, County Down",5,Mum and Dad's Breakfast Pastries,Spicy Chorizo Squash Parcels and Baklava Bites,NA,NA,NA
Andrew,Smyth,7,25,Aerospace engineer,"Derby / Holywood, County Down",6,Tangy Lime and Ginger Meringue Pie,Spring Elderflower Trio,NA,NA,NA
Andrew,Smyth,7,25,Aerospace engineer,"Derby / Holywood, County Down",7,Tropical Holiday Roulade,Childhood Ice Cream Mousse Cakes,NA,NA,NA
Andrew,Smyth,7,25,Aerospace engineer,"Derby / Holywood, County Down",8,Da Vinci Inspired Geared Pies,Jousting Knights Marchpane,NA,NA,NA
Andrew,Smyth,7,25,Aerospace engineer,"Derby / Holywood, County Down",9,Cheesy Elephant Ears and Herby Treble Clefs,Philharmonic Fondants,NA,NA,NA
Andrew,Smyth,7,25,Aerospace engineer,"Derby / Holywood, County Down",10,Crunchy Caramel Cassis Crown,Family and Friends' Favourites Picnic,NA,NA,NA
